epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,13555.8,0.76918,0.92158,0.38879,0.85583,0.96579,0.9545,0.97421,0.75171,0.94323,0.92362,0.94816,0.57325,0.80445,0.97995,0.38948,0.88188,0.002179,0.002179,0.002179
81,13724.8,0.76301,0.91912,0.38646,0.85355,0.96629,0.95471,0.97422,0.75116,0.94345,0.92338,0.94798,0.57348,0.80459,0.97973,0.38904,0.88178,0.00208,0.00208,0.00208
82,13894.3,0.76086,0.91822,0.38438,0.85429,0.96653,0.95471,0.97419,0.75115,0.94429,0.92392,0.94822,0.57369,0.80422,0.97965,0.38859,0.8816,0.001981,0.001981,0.001981
83,14064,0.75702,0.9129,0.38325,0.8531,0.96692,0.95464,0.97419,0.75169,0.94416,0.92326,0.94807,0.57337,0.804,0.97957,0.38847,0.88153,0.001882,0.001882,0.001882
84,14233.1,0.75767,0.91787,0.38204,0.85219,0.96726,0.95442,0.97407,0.75231,0.94453,0.92307,0.94804,0.57343,0.80372,0.97949,0.3883,0.88156,0.001783,0.001783,0.001783
85,14402.3,0.75554,0.9118,0.38011,0.85277,0.96743,0.95432,0.97419,0.75208,0.94483,0.92348,0.94767,0.57348,0.80404,0.97949,0.38785,0.88155,0.001684,0.001684,0.001684
86,14571.6,0.75121,0.90726,0.37725,0.85156,0.96731,0.95387,0.97413,0.75197,0.94533,0.92395,0.94828,0.57418,0.80396,0.97933,0.3878,0.88162,0.001585,0.001585,0.001585
87,14741.3,0.74811,0.90575,0.37648,0.8513,0.96765,0.95368,0.97453,0.75245,0.94449,0.92371,0.94822,0.57379,0.80418,0.9793,0.38745,0.88167,0.001486,0.001486,0.001486
88,14910.5,0.74484,0.9017,0.37309,0.85051,0.96682,0.95369,0.97414,0.75199,0.94459,0.92367,0.94832,0.57361,0.80422,0.9793,0.38724,0.88168,0.001387,0.001387,0.001387
89,15079.2,0.74258,0.89907,0.37199,0.85017,0.96773,0.95365,0.97462,0.75304,0.94541,0.92374,0.94894,0.57374,0.80396,0.97922,0.38683,0.88169,0.001288,0.001288,0.001288
90,15248.4,0.74045,0.8996,0.36802,0.84899,0.96692,0.95381,0.97426,0.75292,0.94524,0.92397,0.94938,0.57395,0.80422,0.97925,0.3867,0.88162,0.001189,0.001189,0.001189
91,15417.7,0.72559,0.89793,0.3545,0.84753,0.96817,0.95333,0.97473,0.75345,0.94559,0.92434,0.94955,0.57415,0.80357,0.97927,0.3863,0.88115,0.00109,0.00109,0.00109
92,15587.1,0.72164,0.88854,0.3509,0.84607,0.96822,0.95318,0.97433,0.75356,0.94588,0.92436,0.94979,0.57439,0.80393,0.97938,0.38587,0.88118,0.000991,0.000991,0.000991
93,15755.2,0.71508,0.88831,0.34836,0.84461,0.96619,0.95369,0.97421,0.75376,0.94491,0.92428,0.94987,0.57413,0.80369,0.9794,0.38574,0.88118,0.000892,0.000892,0.000892
94,15924.8,0.71203,0.88652,0.34602,0.84341,0.96671,0.95364,0.97415,0.7541,0.94487,0.92371,0.94973,0.57406,0.80357,0.97956,0.38564,0.88107,0.000793,0.000793,0.000793
95,16093.6,0.70696,0.8821,0.34339,0.84328,0.96648,0.95394,0.97422,0.75416,0.9446,0.92366,0.94977,0.57433,0.80345,0.9796,0.38519,0.8811,0.000694,0.000694,0.000694
96,16262.5,0.70452,0.87835,0.34094,0.84222,0.96619,0.95393,0.97441,0.75482,0.94449,0.92389,0.94982,0.57432,0.80322,0.97982,0.38499,0.88102,0.000595,0.000595,0.000595
97,16430.6,0.70149,0.87703,0.3384,0.84093,0.9665,0.95361,0.97427,0.75488,0.94474,0.92385,0.95002,0.57416,0.80331,0.97999,0.38479,0.88113,0.000496,0.000496,0.000496
98,16598.5,0.69712,0.87242,0.33679,0.84116,0.96628,0.95361,0.97483,0.75529,0.94512,0.92398,0.95023,0.57455,0.80307,0.9802,0.38433,0.88109,0.000397,0.000397,0.000397
99,16766.5,0.69595,0.87028,0.33498,0.84122,0.96608,0.95409,0.97443,0.75499,0.94515,0.92385,0.9502,0.57497,0.80314,0.98044,0.38433,0.88112,0.000298,0.000298,0.000298
100,16935.2,0.69035,0.86936,0.33143,0.83922,0.9655,0.95367,0.97427,0.75501,0.94515,0.92386,0.95013,0.57535,0.80326,0.98064,0.38361,0.8812,0.000199,0.000199,0.000199
